Sample	LabID	SampleType	site	compartment	location
sample19	4	S1	site1	rhizosphere	Konongo
sample20	6	S1	site1	rhizosphere	Konongo
sample21	7	S1	site1	rhizosphere	Konongo
sample22	9	S2	site2	rhizosphere	Konongo
sample23	10	S2	site2	rhizosphere	Konongo
sample24	11	S2	site2	rhizosphere	Konongo
sample25	13	S3	site3	rhizosphere	Konongo
sample26	14	S3	site3	rhizosphere	Konongo
sample27	18	S5	site5	rhizosphere	Bosome-Freho 
sample28	19	S5	site5	rhizosphere	Bosome-Freho 
sample29	20	S5	site5	rhizosphere	Bosome-Freho 
sample33	32	S6	site6	rhizosphere	Bosome-Freho 
sample34	33	S6	site6	rhizosphere	Bosome-Freho 
sample35	34	S6	site6	rhizosphere	Bosome-Freho 
sample47	1.3	R1	site1	root	Konongo
sample48	1.4	R1	site1	root	Konongo
sample49	1.5	R1	site1	root	Konongo
sample50	2.1	R2	site2	root	Konongo
sample51	2.2	R2	site2	root	Konongo
sample52	2.3	R2	site2	root	Konongo
sample53	3.1	R3	site3	root	Konongo
sample54	3.2	R3	site3	root	Konongo
sample55	5.2	R5	site5	root	Bosome-Freho 
sample56	5.3	R5	site5	root	Bosome-Freho 
sample57	5.4	R5	site5	root	Bosome-Freho 
sample60	6.6	R6	site6	root	Bosome-Freho 
sample61	6.7	R6	site6	root	Bosome-Freho 
sample62	6.8	R6	site6	root	Bosome-Freho 